,week,Plot,SubPlot,pH,PrepH,SoilMoisture,PreSoilMoisture,N,PreN,P,PreP,K,PreK,Mg,PreMg,Ca,PreCa,Temperature,PreTemperature,Humidity,PreHumidity,Light,PreLight,plantHeight,NoOfTiller,NoOfPanicle,SPAD,NoOfSpikelet,NoOfFilledGrain,NoOfUnfilledGrain,WeightGrain
0,1,1,1,7.69127,,49.66337,,1.037559,,0.036326,,2.179481,,0.878174,,0.184355,,32.17381,,89.73952,,1007.526,,0,0,0.017406,0,0.000667,0.024334,0.013452,0.021823
1,1,1,2,8.068734,,40.46467,,1.496475,,0.060292,,2.590254,,0.755743,,0.088783,,29.60582,,89.38002,,1007.949,,0,0,0.034672,0,0.001529,0.026479,0.027197,0.022414
2,1,1,3,7.384977,,43.95917,,1.409969,,0.073266,,2.291278,,0.347209,,0.121249,,34.71069,,88.6381,,1001.072,,0,0,0.047788,0,0.00254,0.059267,0.039772,0.030187
3,1,1,4,7.587536,,40.97159,,1.284749,,0.039767,,2.361854,,0.20695,,0.02506,,32.05985,,89.41639,,1007.09,,0,0,0.049033,0,0.002686,0.083428,0.047241,0.033504
4,1,1,5,7.765379,,40.28482,,1.13412,,0.021241,,2.936699,,0.257043,,0.013833,,30.51825,,88.25541,,1002.895,,0,0,0.052699,0,0.003037,0.109772,0.062806,0.052397
5,1,1,6,7.68963,,40.50979,,1.158702,,0.043578,,2.857917,,0.489542,,0.013137,,31.55825,,89.12142,,1000.769,,0,0,0.060862,0,0.004182,0.111104,0.076236,0.063556
6,1,1,7,7.525349,,49.57814,,1.191253,,0.067711,,1.860996,,0.218336,,0.17768,,33.63175,,88.60677,,1008.935,,0,0,0.064047,0,0.004359,0.147244,0.089717,0.065548
7,1,1,8,7.615839,,46.96084,,1.451524,,0.04878,,1.151211,,0.414848,,0.050618,,32.61435,,89.8755,,1004.809,,0,0,0.066476,0,0.00455,0.158399,0.099029,0.067706
8,1,1,9,7.465653,,48.54032,,1.493824,,0.069125,,1.475879,,0.842253,,0.085084,,33.09028,,89.88694,,1008.096,,0,0,0.069292,0,0.004672,0.18303,0.117628,0.086436
9,1,1,10,7.437874,,41.62989,,1.164701,,0.078693,,1.088371,,0.643952,,0.137286,,32.13103,,88.80029,,1008.69,,0,0,0.07671,0,0.005474,0.186732,0.137264,0.109923
10,1,2,1,7.385317,,43.83105,,1.39472,,0.062458,,2.183652,,0.493055,,0.03927,,29.12619,,89.89937,,1000.979,,0,0,0.095326,0,0.006626,0.217651,0.143344,0.131616
11,1,2,2,7.876118,,44.69233,,1.191364,,0.026681,,2.950995,,0.415305,,0.048196,,28.6798,,89.28007,,1006.823,,0,0,0.099432,0,0.006981,0.224974,0.154513,0.145167
12,1,2,3,7.49854,,47.0761,,1.013053,,0.029453,,1.1598,,0.309708,,0.168709,,28.77981,,88.70938,,1009.576,,0,0,0.099858,0,0.007403,0.259477,0.16018,0.15622
13,1,2,4,7.698173,,44.98053,,1.164232,,0.036813,,2.162109,,0.449134,,0.144108,,28.92476,,88.45814,,1007.345,,0,0,0.105601,0,0.007573,0.276113,0.168466,0.163475
14,1,2,5,8.073679,,42.51131,,1.22076,,0.053784,,1.178413,,0.450824,,0.187704,,33.57597,,89.17435,,1007.796,,0,0,0.114625,0,0.00854,0.30907,0.185616,0.166332
15,1,2,6,7.579509,,44.7583,,1.360415,,0.091246,,2.09798,,0.50835,,0.132633,,33.11286,,88.97027,,1003.274,,0,0,0.122568,0,0.009671,0.341338,0.193795,0.189188
16,1,2,7,7.805583,,41.03518,,1.077898,,0.080102,,2.968234,,0.653845,,0.01275,,29.0378,,88.90499,,1004.691,,0,0,0.133693,0,0.010481,0.365665,0.198456,0.201463
17,1,2,8,7.883374,,40.91754,,1.013317,,0.075174,,1.91008,,0.581229,,0.046503,,34.60136,,89.12387,,1002.982,,0,0,0.151605,0,0.011444,0.366305,0.210208,0.222119
18,1,2,9,7.550445,,42.81844,,1.015246,,0.098226,,1.899163,,0.797502,,0.18446,,28.81681,,89.42002,,1005.884,,0,0,0.167331,0,0.011556,0.398171,0.231843,0.237788
19,1,2,10,7.592218,,40.62819,,1.393568,,0.076284,,1.7123,,0.393523,,0.021589,,30.13593,,89.79804,,1000.694,,0,0,0.181586,0,0.012511,0.422048,0.244277,0.246952
20,1,3,1,7.605498,,87.55146,,1.539559,,0.032119,,3.143191,,1.499537,,0.233215,,26.37782,,89.68924,,1006.838,,0.000514,0.000204,0.003222,0.014962,0.014962,0.018849,0.021482,0.007677
21,1,3,2,6.280749,,82.89934,,1.859358,,0.030553,,1.737092,,1.296899,,0.367906,,21.21816,,89.10532,,1003.718,,0.002025,0.000728,0.004954,0.015549,0.015549,0.036099,0.02628,0.033682
22,1,3,3,7.010295,,77.4759,,2.209115,,0.148121,,1.570949,,1.761626,,0.454629,,25.88174,,88.4474,,1002.132,,0.004448,0.002329,0.005788,0.036634,0.036634,0.058972,0.050607,0.036235
23,1,3,4,6.834253,,68.74105,,2.803784,,0.010334,,1.666396,,1.028619,,0.455426,,28.20249,,89.35276,,1007.251,,0.004887,0.004163,0.006159,0.068879,0.068879,0.073402,0.060518,0.068042
24,1,3,5,5.963343,,60.80121,,2.30976,,0.189545,,1.559322,,1.746711,,0.496491,,21.63162,,89.17894,,1005.874,,0.007617,0.005361,0.009536,0.093789,0.093789,0.08268,0.067969,0.074563
25,1,3,6,6.032204,,66.42876,,1.670052,,0.225109,,3.489286,,1.096321,,0.565016,,21.85837,,89.74652,,1000.54,,0.01086,0.006312,0.010292,0.098946,0.098946,0.110857,0.080218,0.105728
26,1,3,7,7.795068,,68.66545,,1.235498,,0.131305,,2.27748,,1.871525,,0.40265,,29.9087,,89.26627,,1001.55,,0.011094,0.006842,0.013101,0.115937,0.115937,0.124931,0.103077,0.119869
27,1,3,8,7.843856,,79.12445,,2.714482,,0.256293,,1.33803,,1.407413,,0.236189,,21.48968,,89.69238,,1002.571,,0.01387,0.008669,0.016305,0.141585,0.141585,0.131532,0.105149,0.148202
28,1,3,9,6.07736,,62.46371,,2.077716,,0.097388,,1.746181,,1.380502,,0.342244,,20.24496,,88.58861,,1000.143,,0.014625,0.010393,0.019445,0.154426,0.154426,0.149547,0.107353,0.173565
29,1,3,10,7.495153,,79.48125,,1.230115,,0.183265,,3.592208,,1.476769,,0.287818,,26.44473,,88.80699,,1005.877,,0.01532,0.011318,0.019681,0.157421,0.157421,0.157766,0.116839,0.186077
30,1,4,1,7.901466,,42.45473,,1.428827,,0.06719,,2.328419,,0.436438,,0.166642,,28.80853,,88.51483,,1008.419,,0,0,0.187353,0,0.013539,0.427851,0.247195,0.256402
31,1,4,2,7.668819,,41.87344,,1.323842,,0.041564,,1.279844,,0.201801,,0.185232,,30.67737,,88.26741,,1000.534,,0,0,0.192739,0,0.013814,0.44211,0.266856,0.259073
