Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm),Image link
11/9/2023,1,1,12.1,7.4,4,5,18,
11/9/2023,1,2,12.1,7.4,4,5,14,
11/9/2023,1,3,12.1,7.4,4,4,9,
11/9/2023,1,4,12.1,7.4,4,8,17,
11/9/2023,1,5,12.1,7.4,4,3,12,
11/9/2023,1,6,12.1,7.4,4,9,18,
11/9/2023,1,7,12.1,7.4,5,13,26,
11/9/2023,1,8,12.1,7.4,4,6,17,
11/9/2023,1,9,12.1,7.4,4,8,21,
11/9/2023,1,10,12.1,7.4,4,5,18,
11/9/2023,1,11,12.1,7.4,3,2,10,
11/9/2023,1,12,12.1,7.4,4,5,18,
11/9/2023,1,13,12.1,7.4,4,7,16,
11/9/2023,1,14,12.1,7.4,4,6,20,
11/9/2023,1,15,12.1,7.4,5,10,24,
11/9/2023,1,16,12.1,7.4,5,7,20,
11/9/2023,1,17,12.1,7.4,4,5,14,
11/9/2023,1,18,12.1,7.4,4,1,8,
11/9/2023,1,19,12.1,7.4,4,4,11,
11/9/2023,1,20,12.1,7.4,4,9,21,
11/9/2023,1,21,12.1,7.4,3,5,16,
11/9/2023,1,22,12.1,7.4,4,9,20,
11/9/2023,1,23,12.1,7.4,4,11,21,
11/9/2023,1,24,12.1,7.4,4,6,17,
11/9/2023,1,25,12.1,7.4,4,6,17,
11/9/2023,1,26,12.1,7.4,4,6,11,
11/9/2023,1,27,12.1,7.4,4,3,8,
11/9/2023,1,28,12.1,7.4,4,8,18,
11/9/2023,1,29,12.1,7.4,5,3,9,
11/9/2023,1,30,12.1,7.4,4,7,17,
11/9/2023,1,31,12.1,7.4,5,9,24,
11/9/2023,1,32,12.1,7.4,4,8,20,
11/9/2023,1,33,12.1,7.4,4,11,23,
11/9/2023,1,34,12.1,7.4,4,10,25,
11/9/2023,1,35,12.1,7.4,4,6,17,
11/9/2023,1,36,12.1,7.4,3,4,10,
11/9/2023,1,37,12.1,7.4,5,5,14,
11/9/2023,1,38,12.1,7.4,5,9,19,
11/9/2023,1,39,12.1,7.4,4,7,16,
11/9/2023,1,40,12.1,7.4,4,7,19,
11/9/2023,2,1,28,6.2,3,6,10,
