Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm)
11/9/2023,1,1,16,8.2,4,5,18
11/9/2023,1,2,16,8.2,4,5,14
11/9/2023,1,3,16,8.2,4,4,9
11/9/2023,1,4,16,8.2,4,8,17
11/9/2023,1,5,16,8.2,4,3,12
11/9/2023,1,6,16,8.2,4,9,18
11/9/2023,1,7,16,8.2,5,13,26
11/9/2023,1,8,16,8.2,4,6,17
11/9/2023,1,9,16,8.2,4,8,21
11/9/2023,1,10,16,8.2,4,5,18
11/9/2023,1,11,16,8.2,3,2,10
11/9/2023,1,12,16,8.2,4,5,18
11/9/2023,1,13,16,8.2,4,7,16
11/9/2023,1,14,16,8.2,4,6,20
11/9/2023,1,15,16,8.2,5,10,24
11/9/2023,1,16,16,8.2,5,7,20
11/9/2023,1,17,16,8.2,4,5,14
11/9/2023,1,18,16,8.2,4,1,8
11/9/2023,1,19,16,8.2,4,4,11
11/9/2023,1,20,16,8.2,4,9,21
11/9/2023,1,21,16,8.2,3,5,16
11/9/2023,1,22,16,8.2,4,9,20
11/9/2023,1,23,16,8.2,4,11,21
11/9/2023,1,24,16,8.2,4,6,17
11/9/2023,1,25,16,8.2,4,6,17
11/9/2023,1,26,16,8.2,4,6,11
11/9/2023,1,27,16,8.2,4,3,8
11/9/2023,1,28,16,8.2,4,8,18
11/9/2023,1,29,16,8.2,5,3,9
11/9/2023,1,30,16,8.2,4,7,17
11/9/2023,1,31,16,8.2,5,9,24
11/9/2023,1,32,16,8.2,4,8,20
11/9/2023,1,33,16,8.2,4,11,23
11/9/2023,1,34,16,8.2,4,10,25
11/9/2023,1,35,16,8.2,4,6,17
11/9/2023,1,36,16,8.2,3,4,10
11/9/2023,1,37,16,8.2,5,5,14
11/9/2023,1,38,16,8.2,5,9,19
11/9/2023,1,39,16,8.2,4,7,16
11/9/2023,1,40,16,8.2,4,7,19
11/9/2023,2,1,16,8.2,3,6,10
11/9/2023,2,2,16,8.2,3,6,10
11/9/2023,2,3,16,8.2,4,7,14
11/9/2023,2,4,16,8.2,3,9,14
11/9/2023,2,5,16,8.2,4,5,5
11/9/2023,2,6,16,8.2,4,10,17
11/9/2023,2,7,16,8.2,3,9,15
11/9/2023,2,8,16,8.2,4,16,23
11/9/2023,2,9,16,8.2,3,2,8
11/9/2023,2,10,16,8.2,3,4,6
11/9/2023,2,11,16,8.2,4,5,10
11/9/2023,2,12,16,8.2,4,9,11
11/9/2023,2,13,16,8.2,3,5,5
11/9/2023,2,14,16,8.2,4,7,13
11/9/2023,2,15,16,8.2,4,13,19
11/9/2023,2,16,16,8.2,4,14,20
11/9/2023,2,17,16,8.2,3,3,8
11/9/2023,2,18,16,8.2,3,7,10
11/9/2023,2,19,16,8.2,4,6,10
11/9/2023,2,20,16,8.2,4,9,14
11/9/2023,2,21,16,8.2,4,3,8
11/9/2023,2,22,16,8.2,4,12,20
11/9/2023,2,23,16,8.2,3,7,12
11/9/2023,2,24,16,8.2,4,5,8
11/9/2023,2,25,16,8.2,3,5,9
11/9/2023,2,26,16,8.2,3,4,7
11/9/2023,2,27,16,8.2,4,6,11
11/9/2023,2,28,16,8.2,4,6,10
11/9/2023,2,29,16,8.2,4,8,15
11/9/2023,2,30,16,8.2,4,3,6
11/9/2023,2,31,16,8.2,4,5,6
11/9/2023,2,32,16,8.2,3,8,16
11/9/2023,2,33,16,8.2,3,6,10
11/9/2023,2,34,16,8.2,4,3,8
11/9/2023,2,35,16,8.2,3,4,9
11/9/2023,2,36,16,8.2,4,7,13
11/9/2023,2,37,16,8.2,4,2,5
11/9/2023,2,38,16,8.2,3,7,9
11/9/2023,2,39,16,8.2,4,5,10
11/9/2023,2,40,16,8.2,4,6,14
12/9/2023,1,1,16,8.2,4,8,20
12/9/2023,1,2,16,8.2,4,4,15
12/9/2023,1,3,16,8.2,4,5,8
12/9/2023,1,4,16,8.2,4,11,18
12/9/2023,1,5,16,8.2,4,7,14
12/9/2023,1,6,16,8.2,4,8,18
12/9/2023,1,7,16,8.2,5,13,26
12/9/2023,1,8,16,8.2,4,10,19
12/9/2023,1,9,16,8.2,4,10,19
12/9/2023,1,10,16,8.2,4,7,16
12/9/2023,1,11,16,8.2,3,4,11
12/9/2023,1,12,16,8.2,4,6,17
12/9/2023,1,13,16,8.2,4,7,15
12/9/2023,1,14,16,8.2,4,10,18
12/9/2023,1,15,16,8.2,5,12,26
12/9/2023,1,16,16,8.2,5,10,23
12/9/2023,1,17,16,8.2,4,11,17
12/9/2023,1,18,16,8.2,4,3,11
12/9/2023,1,19,16,8.2,4,4,13
12/9/2023,1,20,16,8.2,4,8,20
12/9/2023,1,21,16,8.2,3,3,15
12/9/2023,1,22,16,8.2,4,10,20
12/9/2023,1,23,16,8.2,4,10,24
12/9/2023,1,24,16,8.2,4,7,17
12/9/2023,1,25,16,8.2,4,8,18
12/9/2023,1,26,16,8.2,4,5,13
12/9/2023,1,27,16,8.2,4,2,9
12/9/2023,1,28,16,8.2,4,10,18
12/9/2023,1,29,16,8.2,5,4,13
12/9/2023,1,30,16,8.2,4,6,18
12/9/2023,1,31,16,8.2,5,10,24
12/9/2023,1,32,16,8.2,4,11,20
12/9/2023,1,33,16,8.2,4,13,26
12/9/2023,1,34,16,8.2,4,10,22
12/9/2023,1,35,16,8.2,5,7,17
12/9/2023,1,36,16,8.2,4,4,11
12/9/2023,1,37,16,8.2,5,7,13
12/9/2023,1,38,16,8.2,5,9,18
12/9/2023,1,39,16,8.2,4,7,14
12/9/2023,1,40,16,8.2,4,7,19
12/9/2023,2,1,16,8.2,3,3,8
12/9/2023,2,2,16,8.2,3,3,11
12/9/2023,2,3,16,8.2,4,6,16
12/9/2023,2,4,16,8.2,3,9,17
12/9/2023,2,5,16,8.2,4,5,4
12/9/2023,2,6,16,8.2,4,8,18
12/9/2023,2,7,16,8.2,3,9,18
12/9/2023,2,8,16,8.2,4,15,25
12/9/2023,2,9,16,8.2,3,4,7
12/9/2023,2,10,16,8.2,3,4,10
12/9/2023,2,11,16,8.2,4,5,8
